Rank,City,Country,Overall Score,Student View,Student Mix,Employer Activity,Desirability,Affordability,Rankings
104,Wuhan,China (Mainland),98.4,62.3,37.9,37.5,35.1,65.6,47.7
105,Athens,Greece,98.4,57.1,61.1,64.7,46.9,24.6,29.8
106,Houston,United States,98.4,60.3,69.0,41.4,56.7,13.4,40.2
107,Baltimore,United States,98.4,22.7,71.3,59.7,55.3,14.2,52.8
108,Nagoya,Japan,98.4,10.1,42.6,44.9,68.4,66.9,39.8
109,Subang Jaya,Malaysia,98.4,35.8,54.1,64.3,21.5,68.9,27.7
110,Bogota,Colombia,98.4,44.3,28.0,73.5,27.9,34.2,62.1
111,Delhi,India,98.4,19.3,14.7,65.9,26.5,92.5,50.0
112,Monterrey,Mexico,98.4,38.3,47.1,79.8,19.0,42.3,41.8
113,Mumbai,India,98.4,50.4,5.6,65.8,29.7,74.2,40.7
114,Beirut,Lebanon,98.4,62.0,53.8,74.6,15.2,21.9,38.1
115,Miami,United States,98.4,75.5,52.3,39.9,69.3,7.7,19.7
116,Riga,Latvia,98.4,64.6,70.6,47.3,30.1,39.7,11.6
117,Taichung,Taiwan,98.4,32.1,47.6,37.4,42.0,74.7,23.0
117,Yogyakarta,Indonesia,98.4,21.3,41.6,53.6,13.3,91.1,35.9
119,Pretoria,South Africa,98.4,56.1,43.7,33.7,27.9,75.6,18.9
120,Jakarta,Indonesia,98.4,33.9,31.2,63.3,20.6,68.0,37.6
120,Jeddah,Saudi Arabia,98.4,59.4,26.7,62.2,36.3,30.0,40.0
120,Wroclaw,Poland,98.4,50.8,52.3,31.7,45.0,72.0,3.2
123,Shah Alam,Malaysia,98.4,41.4,51.0,64.6,23.9,66.8,6.6
123,Vilnius,Lithuania,98.4,53.7,62.3,38.3,34.9,45.6,19.5
125,Astana,Kazakhstan,98.4,10.2,46.5,63.4,25.1,76.9,31.6
126,Lima,Peru,98.4,39.0,22.6,62.1,15.3,63.0,49.9
126,Taoyuan District,Taiwan,98.4,30.3,49.0,27.7,43.4,82.0,19.6
128,Quebec,Canada,98.4,21.8,66.5,27.5,78.4,42.6,13.2
129,Izmir,Türkiye,98.4,40.0,48.6,24.8,23.5,100.0,9.0
130,Bangalore,India,98.4,56.9,5.3,49.7,22.6,81.9,28.8
130,Bratislava,Slovakia,98.4,39.6,62.1,33.3,46.5,57.8,5.6
132,Bandung,Indonesia,98.4,14.8,37.0,56.5,17.8,81.3,35.1
133,Guangzhou,China (Mainland),98.4,45.1,54.6,29.8,34.4,48.9,29.4
134,Dallas,United States,98.4,70.7,68.8,19.3,63.8,12.7,6.4
135,Cluj-Napoca,Romania,98.4,35.5,44.6,35.7,38.4,78.7,4.3
136,Busan,South Korea,98.4,40.2,44.2,26.1,58.2,60.5,7.3
137,Tianjin,China (Mainland),98.4,41.9,38.5,18.9,37.7,67.8,30.9
138,Montpellier,France,98.4,16.3,68.9,18.2,56.4,62.0,12.7
138,Poznań,Poland,98.4,22.5,57.4,25.1,40.2,77.7,11.4
140,Chennai,India,98.4,20.2,21.1,52.3,27.4,67.6,43.6
141,Dhaka,Bangladesh,98.4,31.0,5.0,62.3,9.4,80.2,43.8
142,Surabaya,Indonesia,98.4,13.8,36.2,51.6,10.5,89.8,24.1
143,Bucharest,Romania,98.4,39.0,32.3,31.2,42.0,75.1,3.9
143,Macau,Macau SAR,98.4,42.8,84.8,21.9,19.3,25.0,30.0
143,Tallinn,Estonia,98.4,46.6,49.7,33.5,40.3,47.5,6.2
146,Rio de Janeiro,Brazil,98.4,36.6,18.1,56.1,29.2,47.3,33.9
147,Kaunas,Lithuania,98.4,46.0,64.0,28.9,22.6,49.8,4.7
148,Alexandria,Egypt,98.4,29.1,52.5,40.7,12.4,73.7,3.6
148,Harbin,China (Mainland),98.4,30.8,25.5,32.2,27.0,68.7,27.6
150,Xi'an,China (Mainland),98.4,55.8,36.9,26.5,31.4,30.6,30.3
